front	back	tags	front_reading	meaning
この電車は、各駅停車ですか？	"<div class=""back-reading"">このでんしゃは、かくえきていしゃですか。</div>
<div class=""back-meaning"">这趟车是每站都停吗？</div>
<div class=""back-structure"">各駅停車(かくえきていしゃ) = 各站停/慢车</div>
<div class=""back-expand"">⇔急行(きゅうこう)/特急(とっきゅう) 跳站</div>"	japanese personal_top100 transport	このでんしゃは、かくえきていしゃですか。	这趟车是每站都停吗？
Suicaにチャージしたいんですが。	"<div class=""back-reading"">スイカにチャージしたいんですが。</div>
<div class=""back-meaning"">我想给 Suica 充值。</div>
<div class=""back-structure"">チャージ = 充值 ＋ 〜たいんですが</div>
<div class=""back-expand"">券売機(けんばいき)で</div>"	japanese personal_top100 transport	スイカにチャージしたいんですが。	我想给 Suica 充值。
終電は何時ですか？	"<div class=""back-reading"">しゅうでんはなんじですか。</div>
<div class=""back-meaning"">末班车几点？</div>
<div class=""back-structure"">終電(しゅうでん) = 末班车 ＋ 何時(なんじ)</div>
<div class=""back-expand"">⇔始発(しはつ 首班)；聚会后必备</div>"	japanese personal_top100 transport	しゅうでんはなんじですか。	末班车几点？
ここの住所まで、お願いします。	"<div class=""back-reading"">ここのじゅうしょまで、おねがいします。</div>
<div class=""back-meaning"">(给司机)麻烦到这个地址。</div>
<div class=""back-structure"">〜まで = 到… ＋ 住所(じゅうしょ) = 地址</div>
<div class=""back-expand"">タクシーでスマホ画面を見せながら</div>"	japanese personal_top100 transport taxi	ここのじゅうしょまで、おねがいします。	(给司机)麻烦到这个地址。
領収書をもらえますか？	"<div class=""back-reading"">りょうしゅうしょをもらえますか。</div>
<div class=""back-meaning"">(打车)能给我收据吗？</div>
<div class=""back-structure"">領収書(りょうしゅうしょ) = 收据 ＋ もらえますか</div>
<div class=""back-expand"">出租/店内报销，同词不同场景</div>"	japanese personal_top100 transport taxi	りょうしゅうしょをもらえますか。	(打车)能给我收据吗？
神戸までの新幹線を予約したいです。	"<div class=""back-reading"">こうべまでのしんかんせんをよやくしたいです。</div>
<div class=""back-meaning"">我想订到神户的新干线。</div>
<div class=""back-structure"">〜までの = 到…的 ＋ 新幹線(しんかんせん) ＋ 予約(よやく)</div>
<div class=""back-expand"">みどりの窓口/ネット予約</div>"	japanese personal_top100 transport	こうべまでのしんかんせんをよやくしたいです。	我想订到神户的新干线。
荷物を預けられる場所はありますか？	"<div class=""back-reading"">にもつをあずけられるばしょはありますか。</div>
<div class=""back-meaning"">有能寄存行李的地方吗？</div>
<div class=""back-structure"">荷物(にもつ) = 行李 ＋ 預(あず)ける = 寄存 ＋ 〜られる = 能…</div>
<div class=""back-expand"">コインロッカー = 投币储物柜</div>"	japanese personal_top100 transport	にもつをあずけられるばしょはありますか。	有能寄存行李的地方吗？
携帯の新しいプランを契約したいんですが。	"<div class=""back-reading"">けいたいのあたらしいプランをけいやくしたいんですが。</div>
<div class=""back-meaning"">我想办个新的手机套餐。</div>
<div class=""back-structure"">携帯(けいたい) = 手机 ＋ プラン = 套餐 ＋ 契約(けいやく) = 签约</div>
<div class=""back-expand"">手机店开口第一句</div>"	japanese personal_top100 telecom	けいたいのあたらしいプランをけいやくしたいんですが。	我想办个新的手机套餐。
データはたくさん使うので、大容量のプランがいいです。	"<div class=""back-reading"">データはたくさんつかうので、だいようりょうのプランがいいです。</div>
<div class=""back-meaning"">我数据用得多，要大流量套餐。</div>
<div class=""back-structure"">大容量(だいようりょう) = 大容量 ＋ 〜がいい = 要…比较好</div>
<div class=""back-expand"">リモートワークで重要</div>"	japanese personal_top100 telecom	データはたくさんつかうので、だいようりょうのプランがいいです。	我数据用得多，要大流量套餐。
新しい住所でネットを開通したいです。	"<div class=""back-reading"">あたらしいじゅうしょでネットをかいつうしたいです。</div>
<div class=""back-meaning"">我想在新地址开通网络。</div>
<div class=""back-structure"">開通(かいつう) = 开通 ＋ 〜で = 在…(地点)</div>
<div class=""back-expand"">搬家后办宽带</div>"	japanese personal_top100 telecom	あたらしいじゅうしょでネットをかいつうしたいです。	我想在新地址开通网络。
ネットがつながらないんですが、見てもらえますか？	"<div class=""back-reading"">ネットがつながらないんですが、みてもらえますか。</div>
<div class=""back-meaning"">网连不上，能帮我看看吗？</div>
<div class=""back-structure"">つながる→つながらない = 连不上 ＋ 見てもらえますか</div>
<div class=""back-expand"">向客服报修</div>"	japanese personal_top100 telecom	ネットがつながらないんですが、みてもらえますか。	网连不上，能帮我看看吗？
工事はいつ来てもらえますか？	"<div class=""back-reading"">こうじはいつきてもらえますか。</div>
<div class=""back-meaning"">(装宽带)施工什么时候能来？</div>
<div class=""back-structure"">工事(こうじ) = 施工/安装 ＋ いつ来てもらえますか</div>
<div class=""back-expand"">开通工事日程</div>"	japanese personal_top100 telecom	こうじはいつきてもらえますか。	(装宽带)施工什么时候能来？
今月の請求が、いつもより高いんですが。	"<div class=""back-reading"">こんげつのせいきゅうが、いつもよりたかいんですが。</div>
<div class=""back-meaning"">这个月的账单比平时高。</div>
<div class=""back-structure"">請求(せいきゅう) = 账单/收费 ＋ いつもより = 比平时</div>
<div class=""back-expand"">〜んですが 婉转投诉</div>"	japanese personal_top100 telecom	こんげつのせいきゅうが、いつもよりたかいんですが。	这个月的账单比平时高。
バスケ、混ぜてもらってもいいですか？	"<div class=""back-reading"">バスケ、まぜてもらってもいいですか。</div>
<div class=""back-meaning"">篮球能让我加入一起打吗？</div>
<div class=""back-structure"">混(ま)ぜる = 加入/掺和 ＋ 〜てもらってもいいですか = 可以让我…吗</div>
<div class=""back-expand"">飞入野场参加</div>"	japanese personal_top100 basketball social	バスケ、まぜてもらってもいいですか。	篮球能让我加入一起打吗？
何人でやってるんですか？	"<div class=""back-reading"">なんにんでやってるんですか。</div>
<div class=""back-meaning"">你们几个人在打？</div>
<div class=""back-structure"">何人(なんにん)で = 几个人 ＋ やってる = 在做(やっている缩约)</div>
<div class=""back-expand"">入场前搭话</div>"	japanese personal_top100 basketball social	なんにんでやってるんですか。	你们几个人在打？
ポジションはどこをやることが多いですか？	"<div class=""back-reading"">ポジションはどこをやることがおおいですか。</div>
<div class=""back-meaning"">你一般打什么位置？</div>
<div class=""back-structure"">ポジション = 位置 ＋ 〜ことが多い = 经常做…</div>
<div class=""back-expand"">深入篮球话题</div>"	japanese personal_top100 basketball social	ポジションはどこをやることがおおいですか。	你一般打什么位置？
ナイスシュート！	"<div class=""back-reading"">ナイスシュート</div>
<div class=""back-meaning"">好球！(投得漂亮)</div>
<div class=""back-structure"">ナイス〜 = 漂亮的…(场上喊话)</div>
<div class=""back-expand"">ナイスパス／ドンマイ(别在意)も定番</div>"	japanese personal_top100 basketball casual	ナイスシュート	好球！(投得漂亮)
次いつ集まりますか？	"<div class=""back-reading"">つぎいつあつまりますか。</div>
<div class=""back-meaning"">下次什么时候聚(打)？</div>
<div class=""back-structure"">集(あつ)まる = 聚集 ＋ 次いつ = 下次何时</div>
<div class=""back-expand"">想持续参加时</div>"	japanese personal_top100 basketball social	つぎいつあつまりますか。	下次什么时候聚(打)？
よかったら、連絡先を交換しませんか？	"<div class=""back-reading"">よかったら、れんらくさきをこうかんしませんか。</div>
<div class=""back-meaning"">方便的话，要不要交换一下联系方式？</div>
<div class=""back-structure"">よかったら = 如果方便 ＋ 連絡先(れんらくさき) = 联系方式 ＋ 交換しませんか</div>
<div class=""back-expand"">LINE 交換定番句</div>"	japanese personal_top100 social	よかったら、れんらくさきをこうかんしませんか。	方便的话，要不要交换一下联系方式？
勉強会には、よく参加しているんですか？	"<div class=""back-reading"">べんきょうかいには、よくさんかしているんですか。</div>
<div class=""back-meaning"">你常参加技术分享会吗？</div>
<div class=""back-structure"">勉強会(べんきょうかい) = 学习会/技术 meetup ＋ 参加(さんか)</div>
<div class=""back-expand"">tech meetup での会話</div>"	japanese personal_top100 social	べんきょうかいには、よくさんかしているんですか。	你常参加技术分享会吗？
仕事はAIインフラ系で、SREをやっています。	"<div class=""back-reading"">しごとはエーアイインフラけいで、エスアールイーをやっています。</div>
<div class=""back-meaning"">我做 AI 基础设施方面，SRE 工程师。</div>
<div class=""back-structure"">〜系(けい)で = …方面 ＋ やっています = 在做</div>
<div class=""back-expand"">meetup 自我介绍(A2 的口语版)</div>"	japanese personal_top100 social self_intro	しごとはエーアイインフラけいで、エスアールイーをやっています。	我做 AI 基础设施方面，SRE 工程师。
オンコールがあるので、週末は予定が読めないんです。	"<div class=""back-reading"">オンコールがあるので、しゅうまつはよていがよめないんです。</div>
<div class=""back-meaning"">因为要值班，周末的安排不太定得了。</div>
<div class=""back-structure"">予定(よてい)が読(よ)めない = 计划说不准 ＋ 〜ので = 因为</div>
<div class=""back-expand"">婉拒/保留约定时的解释</div>"	japanese personal_top100 social	オンコールがあるので、しゅうまつはよていがよめないんです。	因为要值班，周末的安排不太定得了。
また誘ってください！	"<div class=""back-reading"">またさそってください。</div>
<div class=""back-meaning"">下次再叫上我！</div>
<div class=""back-structure"">誘(さそ)う = 邀约 ＋ また〜てください = 下次请再…</div>
<div class=""back-expand"">告别时的好印象句</div>"	japanese personal_top100 social	またさそってください。	下次再叫上我！
NISAでインデックスファンドを積み立てています。	"<div class=""back-reading"">ニーサでインデックスファンドをつみたてています。</div>
<div class=""back-meaning"">我在用 NISA 定投指数基金。</div>
<div class=""back-structure"">積(つ)み立てる = 定投/累积 ＋ インデックスファンド = 指数基金</div>
<div class=""back-expand"">つみたてNISA 是日本投资标配话题</div>"	japanese personal_top100 investing	ニーサでインデックスファンドをつみたてています。	我在用 NISA 定投指数基金。
株価より、その会社のキャッシュフローを見ます。	"<div class=""back-reading"">かぶかより、そのかいしゃのキャッシュフローをみます。</div>
<div class=""back-meaning"">比起股价，我更看公司的现金流。</div>
<div class=""back-structure"">株価(かぶか) = 股价 ＋ 〜より〜を見る = 比起…更看…</div>
<div class=""back-expand"">你的投资观点</div>"	japanese personal_top100 investing	かぶかより、そのかいしゃのキャッシュフローをみます。	比起股价，我更看公司的现金流。
長期で持つほうが、結局は有利だと思います。	"<div class=""back-reading"">ちょうきでもつほうが、けっきょくはゆうりだとおもいます。</div>
<div class=""back-meaning"">我觉得长期持有最终更有利。</div>
<div class=""back-structure"">長期(ちょうき)で持つ = 长期持有 ＋ 結局(けっきょく) = 最终 ＋ 有利(ゆうり)</div>
<div class=""back-expand"">复利逻辑</div>"	japanese personal_top100 investing	ちょうきでもつほうが、けっきょくはゆうりだとおもいます。	我觉得长期持有最终更有利。
円だけじゃなくて、ドルにも分散しています。	"<div class=""back-reading"">えんだけじゃなくて、ドルにもぶんさんしています。</div>
<div class=""back-meaning"">不只日元，我也分散到美元。</div>
<div class=""back-structure"">〜だけじゃなくて = 不只… ＋ 分散(ぶんさん) = 分散</div>
<div class=""back-expand"">円安/通貨分散の話题</div>"	japanese personal_top100 investing	えんだけじゃなくて、ドルにもぶんさんしています。	不只日元，我也分散到美元。
手数料が安いので、これを選んでいます。	"<div class=""back-reading"">てすうりょうがやすいので、これをえらんでいます。</div>
<div class=""back-meaning"">因为手续费便宜，我选这个。</div>
<div class=""back-structure"">手数料(てすうりょう) = 手续费 ＋ 選(えら)ぶ = 选择</div>
<div class=""back-expand"">比较证券/银行时</div>"	japanese personal_top100 investing	てすうりょうがやすいので、これをえらんでいます。	因为手续费便宜，我选这个。
お金は、人生の選択肢を増やすためのものだと思います。	"<div class=""back-reading"">おかねは、じんせいのせんたくしをふやすためのものだとおもいます。</div>
<div class=""back-meaning"">我觉得钱是用来增加人生选择的。</div>
<div class=""back-structure"">選択肢(せんたくし) = 选择 ＋ 増(ふ)やす = 增加 ＋ 〜ためのもの = 用于…的东西</div>
<div class=""back-expand"">你的金钱观一句话</div>"	japanese personal_top100 investing mindset	おかねは、じんせいのせんたくしをふやすためのものだとおもいます。	我觉得钱是用来增加人生选择的。
YouTubeで技術系の動画を作っています。	"<div class=""back-reading"">ユーチューブでぎじゅつけいのどうがをつくっています。</div>
<div class=""back-meaning"">我在 YouTube 做技术类视频。</div>
<div class=""back-structure"">技術系(ぎじゅつけい) = 技术类 ＋ 動画(どうが) = 视频</div>
<div class=""back-expand"">自我介绍里当兴趣/活动讲</div>"	japanese personal_top100 creator	ユーチューブでぎじゅつけいのどうがをつくっています。	我在 YouTube 做技术类视频。
再生回数より、深く刺さる人がいるかを大事にしています。	"<div class=""back-reading"">さいせいかいすうより、ふかくささるひとがいるかをだいじにしています。</div>
<div class=""back-meaning"">比起播放量，我更看重有没有真正被打动的人。</div>
<div class=""back-structure"">再生回数(さいせいかいすう) = 播放量 ＋ 刺(さ)さる = 戳中/打动 ＋ 大事にする = 重视</div>
<div class=""back-expand"">你的创作观</div>"	japanese personal_top100 creator mindset	さいせいかいすうより、ふかくささるひとがいるかをだいじにしています。	比起播放量，我更看重有没有真正被打动的人。
難しいことを、簡単に説明するのが好きなんです。	"<div class=""back-reading"">むずかしいことを、かんたんにせつめいするのがすきなんです。</div>
<div class=""back-meaning"">我喜欢把难的东西讲简单。</div>
<div class=""back-structure"">〜を簡単(かんたん)に説明する = 把…讲简单 ＋ 〜のが好き</div>
<div class=""back-expand"">教学/创作的核心动机</div>"	japanese personal_top100 creator teaching	むずかしいことを、かんたんにせつめいするのがすきなんです。	我喜欢把难的东西讲简单。
毎月、最低一本は記事を出すと決めています。	"<div class=""back-reading"">まいつき、さいていいっぽんはきじをだすときめています。</div>
<div class=""back-meaning"">我定了每月至少发一篇文章。</div>
<div class=""back-structure"">最低(さいてい) = 至少 ＋ 〜本(ほん) = …篇 ＋ 〜と決(き)めている = 已决定…</div>
<div class=""back-expand"">〜と決めている = 给自己立的规矩</div>"	japanese personal_top100 creator	まいつき、さいていいっぽんはきじをだすときめています。	我定了每月至少发一篇文章。
お世話になっております。	"<div class=""back-reading"">おせわになっております。</div>
<div class=""back-meaning"">一直承蒙关照。(商务寒暄)</div>
<div class=""back-structure"">商务固定寒暄：见面/邮件/电话开头都用</div>
<div class=""back-expand"">社外:お世話になっております／社内:お疲れ様です</div>"	japanese personal_top100 keigo business	おせわになっております。	一直承蒙关照。(商务寒暄)
恐れ入りますが、もう一度お願いできますか？	"<div class=""back-reading"">おそれいりますが、もういちどおねがいできますか。</div>
<div class=""back-meaning"">不好意思，能再说/做一遍吗？</div>
<div class=""back-structure"">恐(おそ)れ入りますが = 实在抱歉/麻烦您(郑重铺垫) ＋ もう一度(いちど)</div>
<div class=""back-expand"">「すみません」的高敬度版</div>"	japanese personal_top100 keigo business	おそれいりますが、もういちどおねがいできますか。	不好意思，能再说/做一遍吗？
確認して、折り返しご連絡します。	"<div class=""back-reading"">かくにんして、おりかえしごれんらくします。</div>
<div class=""back-meaning"">我确认一下，回头联系您。</div>
<div class=""back-structure"">折(お)り返し = 回头/随后 ＋ ご連絡します = 谦让语「联系」</div>
<div class=""back-expand"">电话/邮件无法即答时</div>"	japanese personal_top100 keigo business	かくにんして、おりかえしごれんらくします。	我确认一下，回头联系您。
私の確認不足でした。申し訳ございません。	"<div class=""back-reading"">わたしのかくにんぶそくでした。もうしわけございません。</div>
<div class=""back-meaning"">是我确认不到位，非常抱歉。</div>
<div class=""back-structure"">確認不足(かくにんぶそく) = 确认不足 ＋ 申(もう)し訳ございません = 最郑重的道歉</div>
<div class=""back-expand"">事故/incident 报告：原因→謝罪→対策</div>"	japanese personal_top100 keigo business	わたしのかくにんぶそくでした。もうしわけございません。	是我确认不到位，非常抱歉。
